customer_id,conversion_date,revenue,total_touchpoints,first_touch_channel,last_touch_channel
4,2024-12-05 14:00:00,2897.37,6,Facebook_Ads,Direct
12,2024-08-01 02:00:00,2389.39,8,Instagram_Ads,Paid_Search
21,2024-11-29 00:00:00,3018.15,3,Facebook_Ads,Direct
22,2024-09-04 00:00:00,3718.42,5,Facebook_Ads,Direct
25,2024-09-03 21:00:00,2312.68,5,Facebook_Ads,Email
44,2024-09-09 08:00:00,2312.69,7,Organic_Search,Direct
48,2024-12-24 00:00:00,3763.37,5,Facebook_Ads,Email
50,2024-09-29 15:00:00,3113.95,3,Organic_Search,Email
53,2024-11-16 19:00:00,2124.42,3,Facebook_Ads,Email
57,2024-11-02 09:00:00,2934.05,4,Instagram_Ads,Email
60,2024-11-08 18:00:00,2129.27,7,Facebook_Ads,Email
63,2024-10-15 21:00:00,2127.42,5,Instagram_Ads,Direct
70,2024-08-28 11:00:00,2693.57,3,Instagram_Ads,Direct
73,2024-12-19 23:00:00,969.38,7,Facebook_Ads,Paid_Search
75,2024-12-19 00:00:00,1120.07,5,Paid_Search,Paid_Search
81,2024-12-22 00:00:00,2050.17,6,Paid_Search,Email
83,2024-12-16 14:00:00,1689.74,3,Facebook_Ads,Paid_Search
84,2024-08-11 21:00:00,2751.4,5,Instagram_Ads,Email
85,2024-10-10 15:00:00,1773.58,5,Facebook_Ads,Paid_Search
90,2024-11-06 15:00:00,1370.16,4,Paid_Search,Direct
93,2024-07-21 00:00:00,3672.52,6,Instagram_Ads,Email
98,2024-10-06 07:00:00,2319.38,5,Paid_Search,Organic_Search
103,2024-12-19 10:00:00,2554.02,7,Paid_Search,Email
106,2024-12-19 08:00:00,1360.2,8,Paid_Search,Email
109,2024-11-25 19:00:00,2064.49,5,Facebook_Ads,Paid_Search
119,2024-09-03 20:00:00,2588.74,7,Organic_Search,Email
124,2024-11-25 02:00:00,1579.21,7,Facebook_Ads,Direct
138,2024-07-19 22:00:00,2800.56,4,Paid_Search,Organic_Search
142,2024-12-08 23:00:00,2019.49,5,Paid_Search,Paid_Search
143,2024-10-21 08:00:00,2266.65,8,Facebook_Ads,Direct
144,2024-09-03 02:00:00,2018.63,3,Facebook_Ads,Direct
151,2024-11-05 10:00:00,3981.82,8,Paid_Search,Paid_Search
152,2024-08-19 20:00:00,2489.2,3,Paid_Search,Organic_Search
163,2024-09-24 11:00:00,1653.83,4,Instagram_Ads,Email
165,2024-10-20 09:00:00,3158.04,6,Instagram_Ads,Direct
167,2024-10-18 08:00:00,1523.33,8,Paid_Search,Organic_Search
171,2024-12-03 19:00:00,2667.09,3,Facebook_Ads,Email
172,2024-09-05 00:00:00,932.26,8,Organic_Search,Direct
173,2024-09-16 08:00:00,1437.45,3,Paid_Search,Organic_Search
175,2024-10-08 00:00:00,2657.49,4,Facebook_Ads,Email
