customer_id,touchpoint_number,touchpoint_date,channel,session_duration_seconds,pages_viewed,device
1,1,2024-09-16,Paid_Search,134,11,Desktop
2,1,2024-07-09,Facebook_Ads,588,7,Mobile
2,2,2024-07-11,Paid_Search,314,13,Desktop
2,3,2024-07-15,Paid_Search,193,12,Mobile
2,4,2024-07-16,Email,314,3,Mobile
3,1,2024-08-05,Paid_Search,382,10,Mobile
4,1,2024-11-17,Facebook_Ads,326,2,Desktop
4,2,2024-11-18,Organic_Search,133,7,Mobile
4,3,2024-11-24,Email,403,3,Mobile
4,4,2024-11-27,Email,244,11,Mobile
4,5,2024-12-02,Paid_Search,103,10,Desktop
4,6,2024-12-05,Direct,576,12,Mobile
5,1,2024-10-16,Paid_Search,353,7,Mobile
5,2,2024-10-16,Organic_Search,246,15,Desktop
6,1,2024-09-05,Organic_Search,172,4,Desktop
6,2,2024-09-08,Email,581,5,Desktop
6,3,2024-09-13,Paid_Search,468,15,Mobile
7,1,2024-11-10,Instagram_Ads,186,11,Mobile
7,2,2024-11-23,Organic_Search,462,10,Mobile
8,1,2024-11-13,Instagram_Ads,378,2,Mobile
8,2,2024-11-21,Email,191,8,Mobile
8,3,2024-11-30,Instagram_Ads,299,9,Desktop
8,4,2024-12-04,Facebook_Ads,549,15,Mobile
9,1,2024-08-20,Paid_Search,573,15,Mobile
9,2,2024-09-02,Direct,361,8,Mobile
10,1,2024-09-01,Organic_Search,100,13,Mobile
10,2,2024-09-07,Paid_Search,158,3,Desktop
10,3,2024-09-18,Instagram_Ads,592,3,Mobile
11,1,2024-09-10,Paid_Search,478,15,Mobile
11,2,2024-09-15,Facebook_Ads,153,4,Mobile
11,3,2024-09-16,Direct,376,1,Mobile
11,4,2024-09-17,Email,265,10,Mobile
12,1,2024-07-17,Instagram_Ads,224,2,Mobile
12,2,2024-07-18,Facebook_Ads,471,6,Mobile
12,3,2024-07-18,Paid_Search,508,14,Desktop
12,4,2024-07-23,Direct,130,1,Mobile
12,5,2024-07-23,Email,377,13,Desktop
12,6,2024-07-24,Instagram_Ads,284,4,Mobile
12,7,2024-07-26,Organic_Search,489,3,Mobile
12,8,2024-08-01,Paid_Search,315,8,Mobile
13,1,2024-08-02,Organic_Search,45,2,Desktop
14,1,2024-10-28,Paid_Search,90,3,Mobile
14,2,2024-10-28,Instagram_Ads,429,5,Desktop
15,1,2024-11-08,Facebook_Ads,333,4,Tablet
15,2,2024-11-09,Email,585,1,Desktop
15,3,2024-11-11,Paid_Search,88,1,Mobile
16,1,2024-07-17,Organic_Search,99,11,Desktop
16,2,2024-07-31,Paid_Search,443,2,Desktop
17,1,2024-08-03,Instagram_Ads,565,6,Desktop
18,1,2024-09-04,Instagram_Ads,104,1,Mobile
18,2,2024-09-08,Facebook_Ads,132,2,Mobile
18,3,2024-09-12,Facebook_Ads,548,5,Mobile
19,1,2024-09-12,Paid_Search,478,14,Mobile
20,1,2024-11-28,Organic_Search,136,15,Mobile
21,1,2024-11-23,Facebook_Ads,300,9,Mobile
21,2,2024-11-27,Email,82,2,Desktop
21,3,2024-11-28,Direct,313,1,Mobile
22,1,2024-08-24,Facebook_Ads,66,14,Mobile
22,2,2024-08-25,Paid_Search,595,3,Mobile
22,3,2024-08-28,Direct,72,5,Mobile
22,4,2024-09-02,Email,70,15,Mobile
22,5,2024-09-03,Direct,285,11,Mobile
23,1,2024-08-14,Paid_Search,451,13,Desktop
23,2,2024-08-16,Instagram_Ads,284,5,Mobile
23,3,2024-09-03,Paid_Search,140,7,Desktop
23,4,2024-09-03,Direct,511,4,Mobile
24,1,2024-09-24,Paid_Search,101,13,Mobile
24,2,2024-09-24,Paid_Search,551,7,Desktop
24,3,2024-10-12,Facebook_Ads,579,6,Desktop
25,1,2024-08-16,Facebook_Ads,424,15,Mobile
25,2,2024-08-18,Email,290,1,Desktop
25,3,2024-08-23,Facebook_Ads,31,9,Desktop
25,4,2024-09-02,Email,581,11,Desktop
25,5,2024-09-03,Email,231,6,Mobile
26,1,2024-08-10,Paid_Search,332,9,Mobile
26,2,2024-08-17,Instagram_Ads,460,11,Desktop
26,3,2024-08-24,Instagram_Ads,208,10,Mobile
27,1,2024-09-25,Paid_Search,359,8,Mobile
28,1,2024-08-15,Instagram_Ads,270,11,Mobile
28,2,2024-08-22,Email,233,3,Mobile
28,3,2024-08-29,Paid_Search,280,8,Desktop
28,4,2024-09-03,Direct,104,8,Mobile
29,1,2024-10-19,Paid_Search,35,15,Desktop
29,2,2024-10-22,Email,139,13,Mobile
30,1,2024-07-16,Paid_Search,354,13,Desktop
30,2,2024-07-20,Instagram_Ads,546,7,Desktop
30,3,2024-07-27,Instagram_Ads,591,8,Desktop
30,4,2024-07-30,Email,516,8,Mobile
31,1,2024-11-18,Paid_Search,308,6,Mobile
31,2,2024-11-26,Paid_Search,583,2,Mobile
31,3,2024-12-01,Facebook_Ads,266,7,Desktop
32,1,2024-10-28,Paid_Search,507,7,Mobile
33,1,2024-11-27,Paid_Search,459,9,Desktop
33,2,2024-12-15,Paid_Search,589,13,Desktop
33,3,2024-12-19,Facebook_Ads,255,8,Mobile
33,4,2024-12-21,Organic_Search,476,8,Mobile
34,1,2024-08-16,Paid_Search,468,3,Desktop
34,2,2024-08-26,Facebook_Ads,216,1,Mobile
34,3,2024-08-29,Email,365,4,Mobile
34,4,2024-08-31,Paid_Search,375,13,Desktop
35,1,2024-09-03,Facebook_Ads,71,13,Mobile
35,2,2024-09-05,Direct,283,4,Desktop
35,3,2024-09-18,Facebook_Ads,186,4,Mobile
35,4,2024-09-26,Email,147,10,Desktop
36,1,2024-10-08,Organic_Search,197,5,Mobile
36,2,2024-10-22,Email,56,15,Mobile
36,3,2024-10-22,Organic_Search,414,7,Desktop
37,1,2024-08-18,Paid_Search,153,13,Tablet
37,2,2024-08-20,Email,72,6,Mobile
38,1,2024-11-27,Paid_Search,460,14,Mobile
39,1,2024-10-30,Paid_Search,581,13,Mobile
39,2,2024-11-08,Instagram_Ads,476,14,Desktop
39,3,2024-11-17,Email,304,6,Desktop
40,1,2024-09-24,Paid_Search,505,10,Desktop
41,1,2024-11-14,Paid_Search,247,6,Desktop
42,1,2024-11-20,Paid_Search,276,12,Mobile
42,2,2024-11-26,Email,532,8,Desktop
42,3,2024-12-06,Instagram_Ads,125,5,Mobile
43,1,2024-12-07,Facebook_Ads,368,6,Desktop
43,2,2024-12-11,Instagram_Ads,307,5,Mobile
43,3,2024-12-13,Email,153,12,Mobile
44,1,2024-08-23,Organic_Search,44,12,Mobile
44,2,2024-08-23,Instagram_Ads,310,1,Tablet
44,3,2024-08-25,Facebook_Ads,596,5,Desktop
44,4,2024-09-01,Paid_Search,159,11,Desktop
44,5,2024-09-04,Paid_Search,532,2,Desktop
44,6,2024-09-09,Facebook_Ads,321,8,Mobile
44,7,2024-09-09,Direct,378,3,Tablet
45,1,2024-08-01,Facebook_Ads,341,2,Tablet
45,2,2024-08-01,Email,151,9,Desktop
45,3,2024-08-11,Paid_Search,261,13,Mobile
45,4,2024-08-14,Organic_Search,491,15,Mobile
46,1,2024-09-18,Organic_Search,300,11,Mobile
46,2,2024-10-05,Paid_Search,275,3,Mobile
46,3,2024-10-06,Organic_Search,190,1,Mobile
46,4,2024-10-06,Email,511,5,Mobile
47,1,2024-10-27,Organic_Search,232,7,Mobile
47,2,2024-11-01,Organic_Search,260,11,Mobile
47,3,2024-11-15,Email,302,14,Mobile
48,1,2024-12-03,Facebook_Ads,478,2,Mobile
48,2,2024-12-09,Facebook_Ads,472,12,Mobile
48,3,2024-12-14,Instagram_Ads,286,1,Mobile
48,4,2024-12-18,Facebook_Ads,51,13,Desktop
48,5,2024-12-23,Email,305,10,Mobile
49,1,2024-09-15,Instagram_Ads,358,11,Mobile
49,2,2024-09-23,Direct,194,6,Mobile
49,3,2024-09-28,Instagram_Ads,537,5,Desktop
49,4,2024-09-30,Instagram_Ads,440,14,Desktop
50,1,2024-09-22,Organic_Search,31,11,Desktop
50,2,2024-09-27,Instagram_Ads,503,7,Mobile
50,3,2024-09-29,Email,560,6,Desktop
51,1,2024-08-30,Facebook_Ads,324,8,Desktop
52,1,2024-09-22,Paid_Search,594,1,Mobile
53,1,2024-10-30,Facebook_Ads,309,7,Desktop
53,2,2024-10-31,Email,513,4,Mobile
53,3,2024-11-16,Email,178,7,Mobile
54,1,2024-07-26,Instagram_Ads,549,5,Desktop
54,2,2024-08-11,Instagram_Ads,319,12,Mobile
55,1,2024-08-19,Paid_Search,223,12,Mobile
55,2,2024-08-22,Organic_Search,422,4,Desktop
55,3,2024-08-23,Facebook_Ads,450,1,Mobile
55,4,2024-08-25,Direct,514,12,Desktop
56,1,2024-11-05,Facebook_Ads,132,14,Desktop
56,2,2024-11-08,Email,132,9,Desktop
57,1,2024-10-15,Instagram_Ads,112,14,Mobile
57,2,2024-10-17,Facebook_Ads,576,7,Tablet
57,3,2024-10-28,Email,529,14,Mobile
57,4,2024-11-02,Email,100,4,Desktop
58,1,2024-10-23,Instagram_Ads,132,8,Mobile
59,1,2024-07-22,Instagram_Ads,330,6,Mobile
60,1,2024-10-16,Facebook_Ads,500,5,Desktop
60,2,2024-10-19,Facebook_Ads,506,15,Mobile
60,3,2024-10-19,Email,589,3,Mobile
60,4,2024-10-19,Instagram_Ads,383,10,Mobile
60,5,2024-11-01,Email,464,12,Mobile
60,6,2024-11-04,Facebook_Ads,339,4,Tablet
60,7,2024-11-08,Email,524,2,Mobile
61,1,2024-09-14,Paid_Search,80,15,Desktop
61,2,2024-09-26,Email,538,14,Desktop
61,3,2024-10-05,Email,323,13,Desktop
62,1,2024-09-01,Paid_Search,170,11,Mobile
62,2,2024-09-14,Organic_Search,70,5,Desktop
62,3,2024-09-15,Organic_Search,64,10,Mobile
63,1,2024-09-26,Instagram_Ads,198,5,Desktop
63,2,2024-09-27,Organic_Search,523,13,Mobile
63,3,2024-09-28,Facebook_Ads,376,13,Mobile
63,4,2024-10-05,Instagram_Ads,107,3,Desktop
63,5,2024-10-15,Direct,261,14,Desktop
64,1,2024-07-24,Paid_Search,298,10,Mobile
64,2,2024-08-05,Paid_Search,410,2,Desktop
64,3,2024-08-18,Facebook_Ads,512,1,Desktop
65,1,2024-08-28,Instagram_Ads,448,2,Mobile
65,2,2024-09-15,Direct,68,5,Tablet
65,3,2024-09-15,Facebook_Ads,148,2,Mobile
66,1,2024-11-05,Organic_Search,454,11,Mobile
66,2,2024-11-15,Instagram_Ads,531,10,Mobile
66,3,2024-11-16,Email,316,1,Desktop
66,4,2024-11-17,Paid_Search,252,8,Mobile
67,1,2024-08-06,Organic_Search,312,4,Tablet
67,2,2024-08-12,Email,495,2,Desktop
67,3,2024-08-16,Paid_Search,51,1,Desktop
68,1,2024-11-24,Instagram_Ads,251,14,Desktop
68,2,2024-11-28,Email,366,13,Mobile
69,1,2024-09-13,Organic_Search,583,5,Desktop
70,1,2024-08-03,Instagram_Ads,301,1,Mobile
70,2,2024-08-14,Email,461,9,Mobile
70,3,2024-08-28,Direct,95,8,Mobile
71,1,2024-11-09,Paid_Search,74,12,Desktop
72,1,2024-10-26,Organic_Search,140,8,Desktop
72,2,2024-10-27,Organic_Search,484,2,Desktop
72,3,2024-11-15,Instagram_Ads,359,10,Mobile
73,1,2024-12-06,Facebook_Ads,250,7,Mobile
73,2,2024-12-07,Email,263,7,Mobile
73,3,2024-12-09,Paid_Search,494,7,Mobile
73,4,2024-12-13,Email,127,6,Mobile
73,5,2024-12-14,Organic_Search,291,6,Tablet
73,6,2024-12-16,Email,515,2,Mobile
73,7,2024-12-19,Paid_Search,117,2,Mobile
74,1,2024-11-21,Organic_Search,155,7,Mobile
74,2,2024-12-08,Email,463,14,Desktop
75,1,2024-12-04,Paid_Search,406,2,Desktop
75,2,2024-12-10,Email,261,13,Mobile
75,3,2024-12-12,Facebook_Ads,600,1,Desktop
75,4,2024-12-17,Paid_Search,303,1,Mobile
75,5,2024-12-19,Paid_Search,346,15,Mobile
76,1,2024-12-04,Paid_Search,61,2,Desktop
76,2,2024-12-13,Email,250,7,Mobile
77,1,2024-09-28,Organic_Search,189,3,Desktop
77,2,2024-10-11,Email,80,11,Mobile
77,3,2024-10-12,Organic_Search,483,11,Mobile
78,1,2024-09-11,Paid_Search,569,11,Mobile
78,2,2024-09-14,Paid_Search,255,7,Tablet
78,3,2024-09-24,Email,86,1,Mobile
78,4,2024-10-02,Email,246,13,Mobile
79,1,2024-07-31,Facebook_Ads,265,9,Mobile
79,2,2024-08-15,Paid_Search,392,2,Mobile
79,3,2024-08-23,Instagram_Ads,73,7,Mobile
80,1,2024-12-07,Instagram_Ads,51,6,Mobile
80,2,2024-12-08,Instagram_Ads,501,14,Desktop
80,3,2024-12-13,Paid_Search,400,2,Mobile
81,1,2024-11-30,Paid_Search,387,6,Desktop
81,2,2024-12-07,Facebook_Ads,181,4,Mobile
81,3,2024-12-10,Paid_Search,292,4,Mobile
81,4,2024-12-10,Instagram_Ads,186,13,Desktop
81,5,2024-12-14,Paid_Search,107,3,Tablet
81,6,2024-12-21,Email,535,8,Desktop
82,1,2024-09-21,Facebook_Ads,87,6,Mobile
82,2,2024-09-23,Email,347,8,Mobile
82,3,2024-10-03,Organic_Search,88,6,Desktop
83,1,2024-12-12,Facebook_Ads,72,8,Desktop
83,2,2024-12-14,Direct,222,6,Desktop
83,3,2024-12-16,Paid_Search,543,3,Tablet
84,1,2024-07-23,Instagram_Ads,319,7,Mobile
84,2,2024-07-27,Direct,376,11,Mobile
84,3,2024-07-29,Instagram_Ads,372,2,Mobile
84,4,2024-08-07,Email,425,5,Mobile
84,5,2024-08-11,Email,183,6,Mobile
85,1,2024-09-22,Facebook_Ads,160,11,Desktop
85,2,2024-09-30,Direct,569,2,Desktop
85,3,2024-10-08,Facebook_Ads,463,9,Mobile
85,4,2024-10-09,Facebook_Ads,401,5,Mobile
85,5,2024-10-10,Paid_Search,249,6,Desktop
86,1,2024-08-11,Instagram_Ads,582,14,Desktop
86,2,2024-08-18,Paid_Search,569,1,Desktop
87,1,2024-12-04,Paid_Search,199,12,Mobile
87,2,2024-12-12,Organic_Search,450,6,Desktop
88,1,2024-09-25,Paid_Search,228,6,Desktop
88,2,2024-10-04,Facebook_Ads,481,8,Desktop
88,3,2024-10-05,Direct,421,9,Mobile
88,4,2024-10-06,Organic_Search,195,14,Mobile
89,1,2024-07-25,Facebook_Ads,157,5,Mobile
89,2,2024-07-29,Paid_Search,194,5,Mobile
89,3,2024-08-03,Organic_Search,555,3,Desktop
90,1,2024-10-24,Paid_Search,259,1,Mobile
90,2,2024-10-25,Facebook_Ads,131,14,Desktop
90,3,2024-11-04,Facebook_Ads,373,13,Mobile
90,4,2024-11-06,Direct,69,5,Desktop
91,1,2024-11-12,Paid_Search,292,4,Desktop
91,2,2024-11-17,Paid_Search,591,12,Desktop
92,1,2024-08-31,Paid_Search,94,2,Desktop
92,2,2024-09-02,Email,541,10,Mobile
92,3,2024-09-08,Email,557,10,Mobile
93,1,2024-07-06,Instagram_Ads,549,9,Mobile
93,2,2024-07-08,Paid_Search,511,1,Desktop
93,3,2024-07-12,Direct,412,5,Desktop
