date,channel,spend,impressions,clicks,ctr
2024-07-01,Paid_Search,8231.03,82630,6538,7.91
2024-07-01,Facebook_Ads,7238.29,94080,3538,3.76
2024-07-01,Instagram_Ads,7909.82,81459,3562,4.37
2024-07-01,Email,1006.61,10809,532,4.92
2024-07-01,Organic_Search,0.0,0,0,0.0
2024-07-01,Direct,0.0,0,0,0.0
2024-07-02,Paid_Search,14731.44,214752,5937,2.76
2024-07-02,Facebook_Ads,6282.26,79650,3682,4.62
2024-07-02,Instagram_Ads,6547.6,68647,3656,5.33
2024-07-02,Email,949.26,12329,329,2.67
2024-07-02,Organic_Search,0.0,0,0,0.0
2024-07-02,Direct,0.0,0,0,0.0
2024-07-03,Paid_Search,14762.75,131632,11736,8.92
2024-07-03,Facebook_Ads,7747.12,87807,4007,4.56
2024-07-03,Instagram_Ads,6313.59,70705,4008,5.67
2024-07-03,Email,653.09,9065,230,2.54
2024-07-03,Organic_Search,0.0,0,0,0.0
2024-07-03,Direct,0.0,0,0,0.0
2024-07-04,Paid_Search,8082.98,114448,5740,5.02
2024-07-04,Facebook_Ads,9424.87,118833,3089,2.6
2024-07-04,Instagram_Ads,7067.08,102774,4357,4.24
2024-07-04,Email,1162.45,16806,756,4.5
2024-07-04,Organic_Search,0.0,0,0,0.0
2024-07-04,Direct,0.0,0,0,0.0
2024-07-05,Paid_Search,12978.08,186294,10004,5.37
2024-07-05,Facebook_Ads,9044.55,103494,3210,3.1
2024-07-05,Instagram_Ads,9004.48,77653,3263,4.2
2024-07-05,Email,1492.29,16726,1015,6.07
2024-07-05,Organic_Search,0.0,0,0,0.0
2024-07-05,Direct,0.0,0,0,0.0
2024-07-06,Paid_Search,6272.4,81138,2431,3.0
2024-07-06,Facebook_Ads,7863.78,112985,2399,2.12
2024-07-06,Instagram_Ads,6445.77,64238,4352,6.77
2024-07-06,Email,738.03,8378,320,3.82
2024-07-06,Organic_Search,0.0,0,0,0.0
2024-07-06,Direct,0.0,0,0,0.0
2024-07-07,Paid_Search,8860.8,116998,4875,4.17
2024-07-07,Facebook_Ads,9322.04,124939,5189,4.15
2024-07-07,Instagram_Ads,4274.05,43599,2745,6.3
2024-07-07,Email,537.29,5977,200,3.35
2024-07-07,Organic_Search,0.0,0,0,0.0
2024-07-07,Direct,0.0,0,0,0.0
2024-07-08,Paid_Search,10472.81,96264,5305,5.51
2024-07-08,Facebook_Ads,11605.95,129269,8841,6.84
2024-07-08,Instagram_Ads,6455.84,67710,4416,6.52
2024-07-08,Email,1456.04,11904,587,4.93
2024-07-08,Organic_Search,0.0,0,0,0.0
2024-07-08,Direct,0.0,0,0,0.0
2024-07-09,Paid_Search,9107.37,130034,6336,4.87
2024-07-09,Facebook_Ads,11181.3,121784,8872,7.29
2024-07-09,Instagram_Ads,9025.82,98510,4191,4.25
2024-07-09,Email,803.94,9921,307,3.09
2024-07-09,Organic_Search,0.0,0,0,0.0
2024-07-09,Direct,0.0,0,0,0.0
2024-07-10,Paid_Search,12910.07,166383,5612,3.37
2024-07-10,Facebook_Ads,8346.41,73955,2867,3.88
2024-07-10,Instagram_Ads,6642.71,73285,5108,6.97
2024-07-10,Email,679.73,9514,300,3.15
2024-07-10,Organic_Search,0.0,0,0,0.0
2024-07-10,Direct,0.0,0,0,0.0
2024-07-11,Paid_Search,10775.51,116230,6418,5.52
2024-07-11,Facebook_Ads,6205.66,80108,4661,5.82
2024-07-11,Instagram_Ads,7048.35,60625,2978,4.91
2024-07-11,Email,1292.31,14028,712,5.08
2024-07-11,Organic_Search,0.0,0,0,0.0
2024-07-11,Direct,0.0,0,0,0.0
2024-07-12,Paid_Search,14428.84,196370,11213,5.71
2024-07-12,Facebook_Ads,11707.3,140001,8023,5.73
2024-07-12,Instagram_Ads,8847.15,106815,5060,4.74
2024-07-12,Email,920.49,10314,384,3.72
2024-07-12,Organic_Search,0.0,0,0,0.0
2024-07-12,Direct,0.0,0,0,0.0
2024-07-13,Paid_Search,12600.7,126121,7231,5.73
2024-07-13,Facebook_Ads,9806.86,93152,6101,6.55
2024-07-13,Instagram_Ads,4285.18,62659,1531,2.44
2024-07-13,Email,491.41,3977,230,5.78
2024-07-13,Organic_Search,0.0,0,0,0.0
2024-07-13,Direct,0.0,0,0,0.0
2024-07-14,Paid_Search,7452.05,95240,2755,2.89
2024-07-14,Facebook_Ads,7767.79,86754,3290,3.79
2024-07-14,Instagram_Ads,4490.98,36216,3379,9.33
2024-07-14,Email,679.57,7946,367,4.62
2024-07-14,Organic_Search,0.0,0,0,0.0
2024-07-14,Direct,0.0,0,0,0.0
2024-07-15,Paid_Search,12846.2,130459,9017,6.91
2024-07-15,Facebook_Ads,6741.52,86311,4313,5.0
2024-07-15,Instagram_Ads,9499.33,114907,3825,3.33
2024-07-15,Email,512.73,4194,351,8.37
2024-07-15,Organic_Search,0.0,0,0,0.0
2024-07-15,Direct,0.0,0,0,0.0
2024-07-16,Paid_Search,9025.58,96214,5149,5.35
2024-07-16,Facebook_Ads,11143.18,110511,8572,7.76
2024-07-16,Instagram_Ads,8266.91,87182,5482,6.29
2024-07-16,Email,638.94,7920,475,6.0
2024-07-16,Organic_Search,0.0,0,0,0.0
2024-07-16,Direct,0.0,0,0,0.0
2024-07-17,Paid_Search,13778.76,144853,10089,6.96
2024-07-17,Facebook_Ads,6851.47,68326,2857,4.18
2024-07-17,Instagram_Ads,5927.42,50333,2822,5.61
2024-07-17,Email,1297.61,16508,936,5.67
2024-07-17,Organic_Search,0.0,0,0,0.0
2024-07-17,Direct,0.0,0,0,0.0
2024-07-18,Paid_Search,10018.65,133948,6438,4.81
2024-07-18,Facebook_Ads,8274.74,104572,4794,4.58
2024-07-18,Instagram_Ads,6561.44,66794,3590,5.37
2024-07-18,Email,579.26,7695,447,5.81
2024-07-18,Organic_Search,0.0,0,0,0.0
2024-07-18,Direct,0.0,0,0,0.0
2024-07-19,Paid_Search,10659.51,98210,6572,6.69
2024-07-19,Facebook_Ads,8681.0,118698,2975,2.51
2024-07-19,Instagram_Ads,9114.79,120445,4393,3.65
2024-07-19,Email,1075.19,12602,753,5.98
