channel,spend,attribution_model,attributed_revenue,roas,channel_type
Direct,0.0,Last Touch,1223829.55,0.0,Organic
Email,174993.39,Last Touch,1226659.46,7.009747396744528,Paid
Facebook_Ads,1607204.8,Last Touch,0.0,0.0,Paid
Instagram_Ads,1292908.51,Last Touch,0.0,0.0,Paid
Organic_Search,0.0,Last Touch,580479.61,0.0,Organic
Paid_Search,1975530.39,Last Touch,807756.13,0.4088806398974202,Paid
Direct,0.0,First Touch,0.0,0.0,Organic
Email,174993.39,First Touch,0.0,0.0,Paid
Facebook_Ads,1607204.8,First Touch,979165.19,0.6092348591791164,Paid
Instagram_Ads,1292908.51,First Touch,783919.96,0.6063228402758366,Paid
Organic_Search,0.0,First Touch,563300.57,0.0,Organic
Paid_Search,1975530.39,First Touch,1512339.03,0.7655356949482311,Paid
Direct,0.0,Linear,472431.2680119047,0.0,Organic
Email,174993.39,Linear,702848.291595238,4.016427658183192,Paid
Facebook_Ads,1607204.8,Linear,654767.9984642857,0.40739549711666223,Paid
Instagram_Ads,1292908.51,Linear,508849.9465119048,0.3935699568656291,Paid
Organic_Search,0.0,Linear,570280.744047619,0.0,Organic
Paid_Search,1975530.39,Linear,929546.5013690476,0.4705300946390643,Paid
Direct,0.0,Time Decay,673712.2482322414,0.0,Organic
Email,174993.39,Time Decay,883256.3371073125,5.047369715549327,Paid
Facebook_Ads,1607204.8,Time Decay,487766.9391512655,0.3034877317136344,Paid
Instagram_Ads,1292908.51,Time Decay,375895.9540199944,0.2907367003253729,Paid
Organic_Search,0.0,Time Decay,575031.0881338009,0.0,Organic
Paid_Search,1975530.39,Time Decay,843062.1833553854,0.4267523231345408,Paid
Direct,0.0,Position,562542.7716333334,0.0,Organic
Email,174993.39,Position,642092.6706666667,3.6692395676583365,Paid
Facebook_Ads,1607204.8,Position,544348.3499333333,0.33869258599360413,Paid
Instagram_Ads,1292908.51,Position,432593.613,0.33458950084565536,Paid
Organic_Search,0.0,Position,572138.1751,0.0,Organic
Paid_Search,1975530.39,Position,1085009.1696666668,0.5492242362653135,Paid
Direct,0.0,Markov,556214.0938403658,0.0,Organic
Email,174993.39,Markov,679317.2526885687,3.881959499662065,Paid
Facebook_Ads,1607204.8,Markov,662012.939693278,0.41190328680780325,Paid
Instagram_Ads,1292908.51,Markov,563198.1668534206,0.4356055842291738,Paid
Organic_Search,0.0,Markov,590283.7484472664,0.0,Organic
Paid_Search,1975530.39,Markov,787698.5484771007,0.39872762902781805,Paid
