date,channel,spend,impressions,clicks,conversions,revenue
2024-07-01,Direct,0.0,0,0,0,0.0
2024-07-01,Email,1006.61,10809,532,0,0.0
2024-07-01,Facebook_Ads,7238.29,94080,3538,0,0.0
2024-07-01,Instagram_Ads,7909.82,81459,3562,0,0.0
2024-07-01,Organic_Search,0.0,0,0,0,0.0
2024-07-01,Paid_Search,8231.03,82630,6538,0,0.0
2024-07-02,Direct,0.0,0,0,0,0.0
2024-07-02,Email,949.26,12329,329,0,0.0
2024-07-02,Facebook_Ads,6282.26,79650,3682,0,0.0
2024-07-02,Instagram_Ads,6547.6,68647,3656,0,0.0
2024-07-02,Organic_Search,0.0,0,0,0,0.0
2024-07-02,Paid_Search,14731.44,214752,5937,0,0.0
2024-07-03,Direct,0.0,0,0,0,0.0
2024-07-03,Email,653.09,9065,230,0,0.0
2024-07-03,Facebook_Ads,7747.12,87807,4007,0,0.0
2024-07-03,Instagram_Ads,6313.59,70705,4008,0,0.0
2024-07-03,Organic_Search,0.0,0,0,0,0.0
2024-07-03,Paid_Search,14762.75,131632,11736,0,0.0
2024-07-04,Direct,0.0,0,0,0,0.0
2024-07-04,Email,1162.45,16806,756,0,0.0
2024-07-04,Facebook_Ads,9424.87,118833,3089,0,0.0
2024-07-04,Instagram_Ads,7067.08,102774,4357,0,0.0
2024-07-04,Organic_Search,0.0,0,0,0,0.0
2024-07-04,Paid_Search,8082.98,114448,5740,0,0.0
2024-07-05,Direct,0.0,0,0,0,0.0
2024-07-05,Email,1492.29,16726,1015,0,0.0
2024-07-05,Facebook_Ads,9044.55,103494,3210,0,0.0
2024-07-05,Instagram_Ads,9004.48,77653,3263,0,0.0
2024-07-05,Organic_Search,0.0,0,0,0,0.0
2024-07-05,Paid_Search,12978.08,186294,10004,0,0.0
2024-07-06,Direct,0.0,0,0,0,0.0
2024-07-06,Email,738.03,8378,320,0,0.0
2024-07-06,Facebook_Ads,7863.78,112985,2399,0,0.0
2024-07-06,Instagram_Ads,6445.77,64238,4352,0,0.0
2024-07-06,Organic_Search,0.0,0,0,0,0.0
2024-07-06,Paid_Search,6272.4,81138,2431,0,0.0
2024-07-07,Direct,0.0,0,0,0,0.0
2024-07-07,Email,537.29,5977,200,0,0.0
2024-07-07,Facebook_Ads,9322.04,124939,5189,0,0.0
2024-07-07,Instagram_Ads,4274.05,43599,2745,0,0.0
2024-07-07,Organic_Search,0.0,0,0,0,0.0
2024-07-07,Paid_Search,8860.8,116998,4875,0,0.0
2024-07-08,Direct,0.0,0,0,0,0.0
2024-07-08,Email,1456.04,11904,587,0,0.0
2024-07-08,Facebook_Ads,11605.95,129269,8841,0,0.0
2024-07-08,Instagram_Ads,6455.84,67710,4416,0,0.0
2024-07-08,Organic_Search,0.0,0,0,0,0.0
2024-07-08,Paid_Search,10472.81,96264,5305,0,0.0
2024-07-09,Direct,0.0,0,0,0,0.0
2024-07-09,Email,803.94,9921,307,0,0.0
2024-07-09,Facebook_Ads,11181.3,121784,8872,0,0.0
2024-07-09,Instagram_Ads,9025.82,98510,4191,0,0.0
2024-07-09,Organic_Search,0.0,0,0,0,0.0
2024-07-09,Paid_Search,9107.37,130034,6336,0,0.0
2024-07-10,Direct,0.0,0,0,0,0.0
2024-07-10,Email,679.73,9514,300,0,0.0
2024-07-10,Facebook_Ads,8346.41,73955,2867,0,0.0
2024-07-10,Instagram_Ads,6642.71,73285,5108,0,0.0
2024-07-10,Organic_Search,0.0,0,0,0,0.0
2024-07-10,Paid_Search,12910.07,166383,5612,0,0.0
2024-07-11,Direct,0.0,0,0,1,2438.32
2024-07-11,Email,1292.31,14028,712,1,2438.32
2024-07-11,Facebook_Ads,6205.66,80108,4661,1,2438.32
2024-07-11,Instagram_Ads,7048.35,60625,2978,1,2438.32
2024-07-11,Organic_Search,0.0,0,0,1,2438.32
2024-07-11,Paid_Search,10775.51,116230,6418,1,2438.32
2024-07-12,Direct,0.0,0,0,0,0.0
2024-07-12,Email,920.49,10314,384,0,0.0
2024-07-12,Facebook_Ads,11707.3,140001,8023,0,0.0
2024-07-12,Instagram_Ads,8847.15,106815,5060,0,0.0
2024-07-12,Organic_Search,0.0,0,0,0,0.0
2024-07-12,Paid_Search,14428.84,196370,11213,0,0.0
2024-07-13,Direct,0.0,0,0,0,0.0
2024-07-13,Email,491.41,3977,230,0,0.0
2024-07-13,Facebook_Ads,9806.86,93152,6101,0,0.0
2024-07-13,Instagram_Ads,4285.18,62659,1531,0,0.0
